label1	operator1	operand1	comment1	
label2	operator2	operand2	comment2	
label3	operator3	operand3	comment3	
	operator4	operand4	comment4	
	operator5	operand5		
	operator6	operand6	comment5	
	operator7	operand7	comment6	
	operator8	operand8	comment7	
label4	operator9	operand9	comment8	
	operator10	operand10		
	operator11	operand11		
	operator12	operand12		
	operator13	operand13		
	operator14	operand14	comment9	
	operator15	operand15		
label5	operator16	operand16		
label6	operator17	operand17	comment10	
	operator18	operand18		
label7	operator19	operand19	comment11	
label8	operator20	operand20	comment12	
label9	operator21	operand21	comment13	
label10				
label11				
label12				
	operator22			
label13	operator23	operand22	comment14	
	operator24	operand23	comment15	
	operator25	operand24	comment16	
	operator26	operand25		
label14	operator27	operand26	comment17	
	operator28	operand27	comment18	
	operator29	operand28	comment19	
	operator30	operand29	comment20	
	operator31	operand30	comment21	
	operator32	operand31	comment22	
	operator33	operand32	comment23	
	operator34	operand33		
label15	operator35	operand34	comment24	
	operator36		comment25	
	operator37	operand35		
label16	operator38	operand36	comment26	
label17				
label18				
label19				
	operator39			
label20	operator40	operand37	comment27	
	operator41	operand38		
label21	operator42	operand39	comment28	
	operator43	operand40	comment29	
	operator44	operand41	comment30	
	operator45	operand42	comment31	
	operator46	operand43	comment32	
	operator47	operand44		
	operator48		comment33	
	operator49	operand45		
	operator50			
	operator51	operand46		
